"Year","tagplot","finalid.phen","n.phen.umbel","n.lost.umbel","mean.bud.day","plantid","finalid.demo","n.demo.umbels","No.leaves","Leaf.length","Plot","trt","prev.umbels","prev.leaves","prev.length","cur.size","prev.flwd","finalid.seed","no.seeds"
2022,"3371_15","3371_15",3,0,125.333333333333,"3371_15_14C","3371_15_14C",3,7,20,15,"drought",1,4,11,4.9416424226093,TRUE,"3371_15",86
2022,"3371_15","3371_15",3,0,125.333333333333,"3371_15_14C","3371_15_14C",3,7,20,15,"drought",1,4,11,4.9416424226093,TRUE,"3371_15",94
2022,"3372_15","3372_15",3,1,132.333333333333,"3372_15_19C","3372_15_19C",3,2,24,15,"drought",2,3,23,3.87120101090789,TRUE,"3372_15",54
2022,"3372_15","3372_15",3,1,132.333333333333,"3372_15_19C","3372_15_19C",3,2,24,15,"drought",2,3,23,3.87120101090789,TRUE,"3372_15",4
2022,"3372_15","3372_15",3,1,132.333333333333,"3372_15_19C","3372_15_19C",3,2,24,15,"drought",2,3,23,3.87120101090789,TRUE,"3372_15",0
2022,"3372_6","3372_6",1,0,144,"3372_6_14G","3372_6_14G",1,2,13,6,"irrigated",1,2,10,3.25809653802148,TRUE,"3372_6",62
2022,"3373_13","3373_13",2,1,126.5,"3373_13_13J","3373_13_13J",2,3,12,13,"control",1,5,17,3.58351893845611,TRUE,"3373_13",134
2022,"3373_13","3373_13",2,1,126.5,"3373_13_13J","3373_13_13J",2,3,12,13,"control",1,5,17,3.58351893845611,TRUE,"3373_13",0
2022,"3374_6","3374_6",1,0,123,"3374_6_18H","3374_6_18H",1,2,15,6,"irrigated",0,1,14.5,3.40119738166216,FALSE,"3374_6",40
2022,"3375_7","3375_7",2,2,119.5,"3375_7_3C","3375_7_3C",2,2,21,7,"drought",0,NA,NA,3.73766961828337,FALSE,"3375_7",0
2022,"3375_7","3375_7",2,2,119.5,"3375_7_3C","3375_7_3C",2,2,21,7,"drought",0,NA,NA,3.73766961828337,FALSE,"3375_7",0
2022,"3376_13","3376_13",3,1,125.333333333333,"3376_13_16F","3376_13_16F",3,4,11,13,"control",1,4,17,3.78418963391826,TRUE,"3376_13",0
2022,"3376_13","3376_13",3,1,125.333333333333,"3376_13_16F","3376_13_16F",3,4,11,13,"control",1,4,17,3.78418963391826,TRUE,"3376_13",184
2022,"3376_13","3376_13",3,1,125.333333333333,"3376_13_16F","3376_13_16F",3,4,11,13,"control",1,4,17,3.78418963391826,TRUE,"3376_13",78
2022,"3377_15","3377_15",3,1,111.333333333333,"3377_15_14G","3377_15_14G",3,5,23,15,"drought",1,1,11,4.74493212836325,TRUE,"3377_15",84
2022,"3377_15","3377_15",3,1,111.333333333333,"3377_15_14G","3377_15_14G",3,5,23,15,"drought",1,1,11,4.74493212836325,TRUE,"3377_15",96
2022,"3377_15","3377_15",3,1,111.333333333333,"3377_15_14G","3377_15_14G",3,5,23,15,"drought",1,1,11,4.74493212836325,TRUE,"3377_15",0
2022,"3379_14",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3379_14",0
2022,"3382_13","3382_13",3,1,113.666666666667,"3382_13_5C","3382_13_5C",3,5,8,13,"control",1,2,10,3.68887945411394,TRUE,"3382_13",46
2022,"3382_13","3382_13",3,1,113.666666666667,"3382_13_5C","3382_13_5C",3,5,8,13,"control",1,2,10,3.68887945411394,TRUE,"3382_13",108
2022,"3382_13","3382_13",3,1,113.666666666667,"3382_13_5C","3382_13_5C",3,5,8,13,"control",1,2,10,3.68887945411394,TRUE,"3382_13",0
