Year,Plot,Tag,Xcoor,Ycoor,No.leaves,Leaf.length,No.umbels,Stalk_Height,umbel.diam,YrTag,notes,tag.pulled,problem.tag,,
2022,5,3476,12,E,3,14.5,2,28,SOS,2019,,,,,
2022,5,3109,12,F,3,11,2,22,SOS,2017,,,,,
2022,5,3361,13,A,NA,NA,NA,NA,NA,2017,NPNT,,,,
2022,5,5044,13,B,4,9,2,20,SOS,2021,,,,,
2022,5,3343,13,C,0,NA,NA,NA,NA,2016,NP. Tag pulled,1,,,
2022,5,3538,13,C,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,5,3331,13,E,0,NA,NA,NA,NA,2017,"NP, tag really burried",,,,
2022,5,3577,13,G,0,NA,NA,NA,NA,2017,NP,,,,
2022,5,3677,13,G,1,18,0,NA,NA,?,,,,,
2022,5,5035,13,G,0,NA,NA,NA,NA,2021,NP,,,,
2022,5,3566,13,H,NA,NA,NA,NA,NA,2017,NPNT,,,,
2022,5,3470,13,I,0,NA,NA,NA,NA,2018,NP,,,,
2022,5,3093,14,A,3,20,1,28,4,2017,,,,,
2022,5,3095,14,B,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,5,3472,14,B,0,NA,NA,NA,NA,2018,NP. Tag pulled,1,,,
2022,5,3125,14,C,NA,NA,NA,NA,NA,2019,NPNT,,,,
2022,5,3988,14,C,6,19,2,32,SOS,2016,,,,,
2022,5,3060,14,D,NA,NA,NA,NA,NA,2017,NPNT,,,,
2022,5,3153,14,D,2,18,1,20,4,2017,,,,,
2022,5,3010,14,G,3,18,2,25,SOS,2016,,,,,
2022,5,3710,14,H,4,9,3,23,SOS,2016,,,,,
2022,5,3022,14,J,3,11,2,28,SOS,2016,,,,,
2022,5,3144,14,J,0,NA,NA,NA,NA,2017,NP,,,,
2022,5,5043,15,F,2,20,0,NA,NA,2021,,,,,
2022,5,3186,15,G,NA,NA,NA,NA,NA,2016,NPNT,,,,
2022,5,3984,15,H,1,18,0,NA,NA,2016,,,,,
2022,5,3488,15,I,7,20,5,25,SOS,2019,more like 12 I/J,,,,
2022,5,3127,16,B,3,9,2,26,SOS,2019,,,,,
2022,5,3833,16,B,4,18,2,22,SOS,2016,,,,,
2022,5,3907,16,B,0,NA,NA,NA,NA,2017,NP. Tag pulled,1,,,
2022,5,3124,16,D,3,15,2,30,SOS,2016,,,,,
2022,5,3067,16,F,5,14,3,28,SOS,2016,,,,,
